"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"QFN-24_0.65MM";1;"USB2SERA10CFK";;;
2;"J1";"USB_MINI_B_RA_SMT";1;"USB_MINI_B";;;
3;"TB1";"TB_100MIL_1R8P_PTH";1;"ANALOG";;;
4;"SW1,SW3,SW2";"SW_TACT_PUSH_6MM_PTH";3;"FSM4JH";;;
5;"U2";"SSOP24";1;"MSP430AFE253";;;
6;"R13,R7";"SM0603";2;"1M";;;
7;"R16,R3,R4,R5,R11,R15";"SM0603";6;"47k";;;
8;"R1,R2";"SM0603";2;"1.8k";;;
9;"R6,R8,R14,R12";"SM0603";4;"0";;;
10;"R9,R10";"SM0603";2;"33";;;
11;"R17";"SM0603";1;"750";;;
12;"C8,C7,C4";"P0805";3;"4.7u";;;
13;"D3";"LED-0603";1;"BLUE";;;
14;"D2";"LED-0603";1;"RED";;;
15;"D1";"LED-0603";1;"GREEN";;;
16;"P6";"HEADER_100MIL_1R8P_PTH";1;"DEBUG";;;
17;"P1";"HEADER_100MIL_1R3P_PTH";1;"POWER";;;
18;"P5";"HEADER_100MIL_1R2P_PTH";1;"RX";;;
19;"P4";"HEADER_100MIL_1R2P_PTH";1;"TX";;;
20;"P2";"HEADER_100MIL_1R2P_PTH";1;"3.3V";;;
21;"X2";"CER_RES_2.5MM_SMT";1;"3.686MHz";;;
22;"X1";"CER_RES_2.5MM_SMT";1;"4MHz";;;
23;"C10,C9,C6,C5,C3,C2,C1";"0603";7;".1u";;;
24;"P3";"HEADER_100MIL_1R4P_PTH";1;"JTAG";;;
25;",,";"FIDUCIAL";3;"";;;
